ISO3,country,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average)
AFG,Afghanistan,33.1,80.9,30.6,30.4
AGO,Angola,43.6,79.2,31.9,23.2
ALB,Albania,8.3,32.2,8.2,4.5
AND,Andorra,,,,
ARE,United Arab Emirates,,10.0,1.4,2.7
ARG,Argentina,9.5,36.1,13.1,3.2
ARM,Armenia,7.2,7.8,0.5,2.5
ASM,American Samoa,,,,
ATG,Antigua and Barbuda,,33.0,7.1,
AUS,Australia,3.4,12.9,4.2,2.5
AUT,Austria,,4.9,1.8,2.5
AZE,Azerbaijan,13.3,12.2,0.7,2.5
BDI,Burundi,56.5,70.8,20.9,
BEL,Belgium,2.4,7.3,2.0,2.5
BEN,Benin,30.4,63.3,15.8,10.3
BFA,Burkina Faso,21.8,40.7,7.2,15.4
BGD,Bangladesh,26.4,30.5,11.4,11.9
BGR,Bulgaria,5.6,14.8,2.5,2.5
BHR,Bahrain,5.0,,,
BHS,Bahamas,,17.2,3.4,
BIH,Bosnia and Herzegovina,8.0,13.3,2.8,2.5
BLR,Belarus,3.6,,,2.5
BLZ,Belize,12.0,45.5,5.9,4.6
BMU,Bermuda,,,,
BOL,Bolivia (Plurinational State of),11.1,,,23.0
BRA,Brazil,7.2,18.4,6.6,3.9
BRB,Barbados,6.0,31.1,7.4,3.5
BRN,Brunei Darussalam,10.9,,,
BTN,Bhutan,22.7,,,
BWA,Botswana,21.6,54.8,26.4,24.3
CAF,Central African Republic,39.8,81.3,61.8,23.5
CAN,Canada,,8.5,1.5,2.5
CHE,Switzerland,,2.5,1.1,2.5
CHL,Chile,1.6,17.6,3.7,2.5
CHN,"China, mainland",,,,2.5
CIV,Côte d'Ivoire,20.2,39.4,8.9,9.6
CMR,Cameroon,26.9,59.6,25.4,5.7
COD,Democratic Republic of the Congo,40.3,80.2,41.7,37.0
COG,Congo,16.5,79.9,38.3,26.8
COK,Cook Islands,,,,
COL,Colombia,11.2,30.7,5.3,4.2
COM,Comoros,18.8,79.7,27.4,16.9
CPV,Cabo Verde,9.4,34.3,6.0,12.6
CRI,Costa Rica,9.5,16.2,2.8,2.5
CUB,Cuba,7.0,,,2.5
CYP,Cyprus,,,,2.5
CZE,Czechia,2.5,10.0,2.2,2.5
DEU,Germany,2.1,4.0,1.5,2.5
DJI,Djibouti,18.7,49.2,16.5,12.9
DMA,Dominica,,34.4,5.8,13.4
DNK,Denmark,,7.1,1.9,2.5
DOM,Dominican Republic,5.6,46.1,19.0,4.6
DZA,Algeria,8.6,18.9,5.6,2.5
ECU,Ecuador,22.7,36.9,12.7,13.9
EGY,Egypt,20.4,29.8,10.4,8.5
ERI,Eritrea,50.2,,,
ESP,Spain,,6.9,1.5,2.5
EST,Estonia,1.2,9.3,1.0,2.5
ETH,Ethiopia,34.4,59.0,19.7,22.2
F351,China,4.6,,,2.5
FIN,Finland,,12.6,3.0,2.5
FJI,Fiji,7.1,29.2,8.5,7.8
FRA,France,,7.9,2.3,2.5
FSM,Micronesia (Federated States of),,,,
GAB,Gabon,13.4,,,20.1
GBR,United Kingdom of Great Britain and Northern Ireland,,5.7,2.5,2.5
GEO,Georgia,4.8,32.4,7.5,4.0
GHA,Ghana,12.7,42.4,8.2,6.2
GIN,Guinea,27.9,,,10.3
GMB,Gambia,13.6,59.0,25.5,20.5
GNB,Guinea-Bissau,27.7,62.5,9.0,32.2
GNQ,Equatorial Guinea,16.1,,,
GRC,Greece,2.2,6.4,1.5,2.5
GRD,Grenada,,19.9,5.8,
GRL,Greenland,,,,
GTM,Guatemala,43.5,59.8,21.1,12.6
GUY,Guyana,7.6,25.5,4.7,2.5
HKG,"China, Hong Kong SAR",,,,2.5
HND,Honduras,17.5,56.0,26.9,20.4
HRV,Croatia,,7.9,1.4,2.5
HTI,Haiti,19.5,82.8,42.4,50.4
HUN,Hungary,,15.0,3.6,2.5
IDN,Indonesia,31.0,4.9,0.5,7.2
IND,India,31.7,,,13.7
IRL,Ireland,,4.2,1.6,2.5
IRN,Iran (Islamic Republic of),4.7,39.9,6.4,6.5
IRQ,Iraq,9.9,,,16.1
ISL,Iceland,,7.0,1.9,2.5
ISR,Israel,,12.2,3.4,2.5
ITA,Italy,,2.0,0.5,2.5
JAM,Jamaica,6.5,55.1,26.6,7.3
JOR,Jordan,6.6,,,17.9
JPN,Japan,5.0,5.5,1.2,3.4
KAZ,Kazakhstan,4.9,2.2,0.6,2.5
KEN,Kenya,18.4,72.8,28.0,34.5
KGZ,Kyrgyzstan,10.3,7.0,1.1,6.1
KHM,Cambodia,22.3,50.5,13.9,4.6
KIR,Kiribati,14.2,41.0,8.0,3.7
KNA,Saint Kitts and Nevis,,29.8,5.6,
KOR,Republic of Korea,1.7,5.7,0.9,2.5
KWT,Kuwait,6.9,8.7,3.5,2.5
LAO,Lao People's Democratic Republic,27.7,36.3,6.2,5.4
LBN,Lebanon,7.4,40.1,11.7,9.6
LBR,Liberia,26.6,81.0,37.3,38.4
LBY,Libya,52.2,37.9,19.9,11.4
LCA,Saint Lucia,2.5,22.2,4.5,
LKA,Sri Lanka,15.9,11.4,1.2,4.1
LSO,Lesotho,31.8,56.7,32.8,
LTU,Lithuania,4.5,6.1,1.3,2.5
LUX,Luxembourg,,2.6,0.6,2.5
LVA,Latvia,1.8,10.2,1.5,2.5
MAC,"China, Macao SAR",,,,10.7
MAR,Morocco,12.8,,,6.9
MDA,Republic of Moldova,3.9,24.7,5.3,2.5
MDG,Madagascar,38.6,68.6,14.9,39.7
MDV,Maldives,13.9,13.4,2.2,
MEX,Mexico,12.6,20.7,3.0,3.1
MHL,Marshall Islands,30.5,,,
MKD,North Macedonia,3.7,20.2,4.8,2.5
MLI,Mali,23.8,20.0,2.7,9.6
MLT,Malta,,8.2,2.0,2.5
MMR,Myanmar,24.1,32.0,6.9,5.3
MNE,Montenegro,8.2,12.3,2.5,2.5
MNG,Mongolia,6.1,5.3,0.5,2.5
MOZ,Mozambique,36.4,,,24.8
MRT,Mauritania,22.1,61.2,11.6,9.3
MUS,Mauritius,8.6,31.2,10.2,5.9
MWI,Malawi,34.0,81.7,53.5,19.9
MYS,Malaysia,21.9,16.7,5.8,2.5
NAM,Namibia,16.8,56.8,31.9,22.2
NCL,New Caledonia,,,,5.6
NER,Niger,47.4,50.3,7.5,13.3
NGA,Nigeria,34.2,73.9,22.6,18.0
NIC,Nicaragua,14.9,,,19.6
NIU,Niue,,,,
NLD,Netherlands (Kingdom of the),1.6,5.5,1.9,2.5
NOR,Norway,,6.8,1.4,2.5
NPL,Nepal,26.7,37.0,13.5,5.7
NRU,Nauru,14.8,,,
NZL,New Zealand,,16.4,3.8,2.5
OMN,Oman,12.7,,,5.7
PAK,Pakistan,34.0,44.9,15.1,20.7
PAN,Panama,13.8,,,5.6
PER,Peru,10.1,51.7,20.3,7.0
PHL,Philippines,28.8,44.1,5.9,5.9
PLW,Palau,,,,
PNG,Papua New Guinea,51.2,57.3,27.0,27.7
POL,Poland,2.3,5.4,0.9,2.5
PRI,Puerto Rico,,,,
PRK,Democratic People's Republic of Korea,16.8,,,
PRT,Portugal,3.1,12.3,3.3,2.5
PRY,Paraguay,3.4,26.2,6.6,4.5
PSE,Palestine,7.5,27.4,4.5,
PYF,French Polynesia,,,,5.4
QAT,Qatar,4.4,,,
ROU,Romania,7.7,19.1,7.1,2.5
RUS,Russian Federation,,4.6,0.5,2.5
RWA,Rwanda,29.8,,,31.4
SAU,Saudi Arabia,12.4,,,3.0
SDN,Sudan,36.0,,,11.4
SEN,Senegal,17.0,29.4,4.0,4.6
SGP,Singapore,3.0,7.7,2.5,
SLB,Solomon Islands,29.8,,,19.4
SLE,Sierra Leone,26.0,88.6,32.3,28.4
SLV,El Salvador,10.0,46.9,15.8,6.8
SOM,Somalia,18.0,79.7,43.5,51.3
SRB,Serbia,4.6,13.0,3.0,2.5
SSD,South Sudan,27.9,87.3,63.2,19.6
STP,Sao Tome and Principe,10.0,54.6,14.1,16.4
SUR,Suriname,7.6,35.8,7.2,10.1
SVK,Slovakia,,9.0,2.0,3.6
SVN,Slovenia,,7.9,0.9,2.5
SWE,Sweden,,6.0,1.8,2.5
SWZ,Eswatini,21.2,55.9,17.2,12.4
SYC,Seychelles,7.2,14.3,3.2,2.5
SYR,Syrian Arab Republic,25.4,,,34.0
TCD,Chad,32.3,76.6,36.4,35.1
TGO,Togo,22.3,57.0,10.9,12.8
THA,Thailand,11.8,7.2,1.4,5.6
TJK,Tajikistan,13.1,28.0,6.7,8.7
TKL,Tokelau,,,,
TKM,Turkmenistan,6.7,,,4.1
TLS,Timor-Leste,45.1,53.7,8.9,15.9
TON,Tonga,1.8,14.8,2.6,
TTO,Trinidad and Tobago,8.8,43.3,10.2,12.6
TUN,Tunisia,8.6,26.7,11.3,3.2
TUR,Türkiye,5.5,,,2.5
TUV,Tuvalu,5.2,,,
TWN,"China, Taiwan Province of",,,,3.7
TZA,United Republic of Tanzania,30.6,58.2,25.4,23.8
UGA,Uganda,23.4,71.2,23.0,36.9
UKR,Ukraine,12.3,31.0,5.3,5.8
URY,Uruguay,6.1,15.7,2.9,2.5
USA,United States of America,3.6,9.1,0.8,2.5
UZB,Uzbekistan,6.9,,,2.5
VCT,Saint Vincent and the Grenadines,,33.3,10.3,4.8
VEN,Venezuela (Bolivarian Republic of),10.5,,,17.6
VNM,Viet Nam,19.3,10.8,2.1,5.2
VUT,Vanuatu,31.4,23.3,2.4,7.9
WSM,Samoa,7.4,23.6,3.4,5.4
YEM,Yemen,35.1,72.5,,39.5
ZAF,South Africa,22.8,19.4,8.4,8.1
ZMB,Zambia,31.4,,,35.4
ZWE,Zimbabwe,21.6,70.7,26.0,38.1
